english,chinese
Side-to-Side Movements.,侧向运动。
She was possessed by a devil.,她着了魔。
The majority was wrong last time.,方是错的。
Great talents flower late.,大器晚成。
Erhai Lake （in Yunnan Province）,洱海
It strikes one as very strange.,深以为异。
Did I divide right?,我算得对吗
"I promise"".",我保证。
All was quiet and not a soul was to be seen.,阒无一人。
Folder wire glass;,夹丝玻璃；
Steam bath;,蒸气浴；
Package sealing.,包密封。
Mud on salt.,泥在盐上。
What street?,什么街？
You must be very quiet. Hold tight to me.,抱紧我。
Frozen ocean shrimp;,海虾；
It was he.,果然是他。
Target Line;,目标线；
Chemical potential.,化学势。
He ate no soup.,他不喝汤。
What is to be done?,将如之何?
Front wheel drive.,前轮驱动。
All streams flow into the Huanghe River.,百川灌河。
A:It's on the seccond floor.,在二楼.
All the boats and carts started off at the same time.,车船齐发。
The Univ.,该大学。
The printing plant.,印刷厂。
It looks like rain.,颇有雨意。
Straight tool holder .,直车刀架。
I'm afraid of dying a violent death.,我怕暴死。
How do they channel it?,如何引导？
"You love me, then?",您爱我吗？
The fragrance of flowers assails one's nose.,花气袭人。
Octal Digit?,八进制数？
Salt the eggplant!,盐渍茄子！
Card Holder box;,名片盒；
The country is covered with wild flowers.; Wild flowers blossom everywhere.,野花遍地。
The bracket came loose.,托架松了。
Pure aluminum product;,纯铝制品；
Please. Have a seat.,请坐吧。
A slam dunk!,灌篮了。
You know Jun.,你了解君。
No one can tell how much.,不知几许。
That can be done.,那办得到。
Try again.; Try once more.,再试一遍。
This fish smells bad.,这鱼馊了。
He succeeded.,他成功了。
dU=-pdV So du is just minus p dV.,于是。
Thank you! Merci! Xiexie!,谢谢大家！
The small one.,小的那艘。
Flea markets.,跳蚤市场。
Goodnight everyone.,晚安各位。
Three times three is nine.,三三得九。
Domain expert.,领域专家。
But a silver nutmeg.,除了银果。
Change the water.,换水了。
What happiness!,多么幸福！
Da Dong Roast Duck.,大东烤鸭。
Not short of money.,咱不差钱。
Look at the big picture.,看这大图。
"After you,please.",你先请。
Samuel!,撒母耳阿。
Any type.,任何类型。
"No, thanks.",不，谢谢。
There are no refunds.,没有退款。
What irony!,多么讽刺！
Kenneth.,肯尼思。
Carpool.,拼车。
"New lords, new laws.",新官新法。
Captain: Hmm.,上校：嗯。
"And then yesterday morning,",昨天早晨，
He jangled the bell.,他乱摇铃。
To supplicate; entreat.,恳求哀求；
The lawn mower.,割草机。
Make hand puppets.,做手偶。
There is no answer.,没有应问。
I am Kangkang.,我是康康。
Wife: New day!,妻：新日！
Drink boiled water.,喝开水。
Sampling method.,采样方法。
At the tickets office.,在售票点。
"Now, that's just huge.",很魁梧
Well bore heat-transfer;,井筒传热；
I have a stomach-ache.,我胃痛。
The war criminals sue for peace.,战犯求和。
Buckled ankle wrap.,扣脚踝包。
Photo by John Vachon.,约翰上色。
Oh my heart…,我的心魂…
Copper transmits electricity.,铜会传电。
Disaster strikes one's head.,大祸临头。
This Spring.,今年春季。
Listing 8. A definition file (defs.xml),清单 8.
Shearing machine; Press brake;,剪毛机；
Bone tuberculosis;,骨结核；
He's an old duffer.,是个老人。
Fascinating.,令人着迷。
On the building berth.,在船台上。
Smart!,聪明智慧！
Iron titanium oxide;,氧化钛铁；
